term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0030162,"regulation of proteolysis",0.304%,null,null,4.591,-5.1864,0.594,0.819,32268,1
GO:0043408,"regulation of MAPK cascade",0.166%,null,null,4.328,-9.7721,0.424,0.901,32268,1
GO:0043406,"positive regulation of MAP kinase activity",0.036%,null,null,3.665,-5.5406,0.375,0.878,32268,1
GO:0032147,"activation of protein kinase activity",0.081%,null,null,4.016,-7.8601,0.444,0.850,32268,1
GO:0000187,"activation of MAPK activity",0.024%,null,null,3.483,-4.0511,0.388,0.883,32268,1
GO:0033674,"positive regulation of kinase activity",0.150%,null,null,4.283,-5.9318,0.451,0.955,32268,1
GO:0070887,"cellular response to chemical stimulus",1.007%, 2.140,-7.282,5.111,-12.4868,0.762,0.433,70887,0
GO:1901701,"cellular response to oxygen-containing compound",0.345%,null,null,4.647,-8.4609,0.766,0.851,70887,1
GO:1901698,"response to nitrogen compound",0.178%,null,null,4.359,-6.4260,0.820,0.618,70887,1
GO:1901699,"cellular response to nitrogen compound",0.121%,null,null,4.192,-6.6536,0.777,0.899,70887,1
GO:1901700,"response to oxygen-containing compound",0.503%,null,null,4.810,-8.8125,0.805,0.683,70887,1
GO:0042493,"response to drug",0.266%,null,null,4.534,-4.3354,0.814,0.641,70887,1
GO:0071219,"cellular response to molecule of bacterial origin",0.028%,null,null,3.555,-4.8508,0.784,0.825,70887,1
GO:0032868,"response to insulin",0.041%,null,null,3.717,-4.5560,0.815,0.952,70887,1
GO:1901652,"response to peptide",0.064%,null,null,3.917,-6.7878,0.810,0.754,70887,1
GO:0071310,"cellular response to organic substance",0.651%,null,null,4.922,-10.7212,0.751,0.701,70887,1
GO:0010033,"response to organic substance",0.900%,null,null,5.062,-8.5817,0.796,0.725,70887,1
GO:1901653,"cellular response to peptide",0.049%,null,null,3.802,-5.3726,0.781,0.877,70887,1
GO:0071345,"cellular response to cytokine stimulus",0.122%,null,null,4.194,-5.4425,0.778,0.795,70887,1
GO:0002237,"response to molecule of bacterial origin",0.049%,null,null,3.796,-4.8239,0.802,0.737,70887,1
GO:0034097,"response to cytokine",0.136%,null,null,4.242,-7.9469,0.812,0.803,70887,1
GO:0031663,"lipopolysaccharide-mediated signaling pathway",0.010%,null,null,3.128,-4.1630,0.604,0.913,70887,1
GO:0071417,"cellular response to organonitrogen compound",0.090%,null,null,4.064,-7.1238,0.774,0.921,70887,1
GO:0034612,"response to tumor necrosis factor",0.032%,null,null,3.615,-4.0820,0.828,0.893,70887,1
GO:0010243,"response to organonitrogen compound",0.140%,null,null,4.255,-6.4023,0.802,0.951,70887,1
GO:0071495,"cellular response to endogenous stimulus",0.402%,null,null,4.712,-6.4353,0.828,0.812,70887,1
GO:0031324,"negative regulation of cellular metabolic process",1.165%,-6.614,-2.641,5.174,-12.2255,0.536,0.438,31324,0
GO:0048523,"negative regulation of cellular process",1.830%,null,null,5.371,-8.1524,0.565,0.918,31324,1
GO:0032269,"negative regulation of cellular protein metabolic process",0.423%,null,null,4.734,-6.5591,0.520,0.871,31324,1
GO:1902679,"negative regulation of RNA biosynthetic process",0.612%,null,null,4.895,-4.8097,0.546,0.986,31324,1
GO:0031327,"negative regulation of cellular biosynthetic process",0.768%,null,null,4.993,-6.5072,0.546,0.984,31324,1
GO:0051248,"negative regulation of protein metabolic process",0.435%,null,null,4.747,-6.7167,0.531,0.873,31324,1
GO:0051253,"negative regulation of RNA metabolic process",0.626%,null,null,4.905,-6.4473,0.548,0.907,31324,1
GO:0045934,"negative regulation of nucleobase-containing compound metabolic process",0.702%,null,null,4.954,-7.1141,0.549,0.957,31324,1
GO:0045892,"negative regulation of transcription, DNA-templated",0.592%,null,null,4.881,-5.3028,0.547,0.968,31324,1
GO:0010629,"negative regulation of gene expression",0.784%,null,null,5.002,-4.6556,0.553,0.929,31324,1
GO:0010605,"negative regulation of macromolecule metabolic process",1.169%,null,null,5.176,-7.5560,0.540,0.970,31324,1
GO:0050779,"RNA destabilization",0.005%,null,null,2.839,-5.1694,0.712,0.862,31324,1
GO:0010558,"negative regulation of macromolecule biosynthetic process",0.739%,null,null,4.977,-6.4622,0.552,0.987,31324,1
GO:0061157,"mRNA destabilization",0.005%,null,null,2.821,-5.1993,0.621,0.603,31324,1
GO:0061158,"3'-UTR-mediated mRNA destabilization",0.004%,null,null,2.700,-4.0227,0.627,0.982,31324,1
GO:0051893,"regulation of focal adhesion assembly",0.010%,null,null,3.089,-4.4365,0.676,0.916,31324,1
GO:1903391,"regulation of adherens junction organization",0.010%,null,null,3.122,-4.3439,0.688,0.777,31324,1
GO:2000113,"negative regulation of cellular macromolecule biosynthetic process",0.715%,null,null,4.963,-6.8570,0.544,0.920,31324,1
GO:1903507,"negative regulation of nucleic acid-templated transcription",0.609%,null,null,4.893,-4.8097,0.546,0.990,31324,1
GO:0009892,"negative regulation of metabolic process",1.260%,null,null,5.209,-8.5317,0.552,0.871,31324,1
GO:0009890,"negative regulation of biosynthetic process",0.772%,null,null,4.996,-5.9318,0.559,0.927,31324,1
GO:0000122,"negative regulation of transcription from RNA polymerase II promoter",0.199%,null,null,4.408,-4.6308,0.583,0.809,31324,1
GO:0090109,"regulation of cell-substrate junction assembly",0.010%,null,null,3.089,-4.4365,0.685,0.957,31324,1
GO:1901889,"negative regulation of cell junction assembly",0.004%,null,null,2.727,-4.6198,0.653,0.540,31324,1
GO:0051172,"negative regulation of nitrogen compound metabolic process",0.792%,null,null,5.007,-11.5638,0.559,0.930,31324,1
GO:0006357,"regulation of transcription from RNA polymerase II promoter",1.273%,-6.284,-1.665,5.213,-8.9281,0.581,0.442,6357,0
GO:0031344,"regulation of cell projection organization",0.123%,-4.569,-2.190,4.199,-5.5918,0.639,0.449,31344,0
GO:0033043,"regulation of organelle organization",0.495%,null,null,4.803,-5.0039,0.619,0.679,31344,1
GO:1902903,"regulation of supramolecular fiber organization",0.166%,null,null,4.329,-4.8386,0.632,0.697,31344,1
GO:0051246,"regulation of protein metabolic process",1.551%,-5.854,-1.100,5.299,-14.6326,0.584,0.453,51246,0
GO:0080090,"regulation of primary metabolic process",11.675%,null,null,6.175,-20.7520,0.507,0.871,51246,1
GO:0031323,"regulation of cellular metabolic process",11.662%,null,null,6.175,-23.8633,0.499,0.593,51246,1
GO:0031326,"regulation of cellular biosynthetic process",10.816%,null,null,6.142,-12.2140,0.498,0.888,51246,1
GO:0051252,"regulation of RNA metabolic process",10.029%,null,null,6.109,-13.1778,0.495,0.841,51246,1
GO:2001141,"regulation of RNA biosynthetic process",9.969%,null,null,6.107,-10.7423,0.493,0.896,51246,1
GO:0019219,"regulation of nucleobase-containing compound metabolic process",10.258%,null,null,6.119,-12.3840,0.501,0.862,51246,1
GO:0006355,"regulation of transcription, DNA-templated",9.917%,null,null,6.105,-11.4949,0.493,0.886,51246,1
GO:0019222,"regulation of metabolic process",11.942%,null,null,6.185,-21.0605,0.570,0.619,51246,1
GO:0050794,"regulation of cellular process",18.840%,null,null,6.383,-20.3487,0.538,0.698,51246,1
GO:0050789,"regulation of biological process",19.373%,null,null,6.395,-19.9172,0.563,0.761,51246,1
GO:0010556,"regulation of macromolecule biosynthetic process",10.749%,null,null,6.140,-11.8182,0.503,0.890,51246,1
GO:0010468,"regulation of gene expression",10.815%,null,null,6.142,-12.9914,0.506,0.856,51246,1
GO:2000112,"regulation of cellular macromolecule biosynthetic process",10.683%,null,null,6.137,-11.3851,0.492,0.853,51246,1
GO:0060255,"regulation of macromolecule metabolic process",11.716%,null,null,6.177,-18.9431,0.503,0.872,51246,1
GO:1903506,"regulation of nucleic acid-templated transcription",9.965%,null,null,6.107,-10.7077,0.493,0.899,51246,1
GO:0009889,"regulation of biosynthetic process",10.834%,null,null,6.143,-11.5884,0.514,0.856,51246,1
GO:0051171,"regulation of nitrogen compound metabolic process",10.926%,null,null,6.147,-20.2480,0.514,0.858,51246,1
GO:0006810,"transport",17.616%,-0.690, 5.044,6.354,-6.0685,0.934,0.454,6810,0
GO:0051234,"establishment of localization",17.756%,null,null,6.358,-5.1024,0.935,0.794,6810,1
GO:0007167,"enzyme linked receptor protein signaling pathway",0.279%,-1.926,-5.353,4.554,-5.0232,0.575,0.457,7167,0
GO:0048010,"vascular endothelial growth factor receptor signaling pathway",0.013%,null,null,3.207,-4.1851,0.652,0.763,7167,1
GO:0002431,"Fc receptor mediated stimulatory signaling pathway",0.003%,null,null,2.525,-4.0200,0.488,0.737,7167,1
GO:0007169,"transmembrane receptor protein tyrosine kinase signaling pathway",0.167%,null,null,4.331,-5.0320,0.590,0.757,7167,1
GO:0038094,"Fc-gamma receptor signaling pathway",0.002%,null,null,2.462,-4.4449,0.573,0.560,7167,1
GO:0042221,"response to chemical",3.071%, 2.389,-6.771,5.595,-8.7773,0.812,0.463,42221,0
GO:0051716,"cellular response to stimulus",9.561%,null,null,6.089,-7.7932,0.760,0.680,42221,1
GO:0006950,"response to stress",4.575%,null,null,5.769,-5.9469,0.805,0.562,42221,1
GO:0044087,"regulation of cellular component biogenesis",0.404%,-5.996,-4.156,4.715,-4.7471,0.661,0.465,44087,0
GO:0009605,"response to external stimulus",1.370%, 2.473,-7.056,5.245,-6.6904,0.825,0.475,9605,0
GO:0006952,"defense response",0.568%, 2.778,-6.301,4.863,-7.8894,0.826,0.491,6952,0
GO:0035690,"cellular response to drug",0.013%, 2.801,-5.586,3.223,-5.3288,0.815,0.499,35690,0
GO:0071248,"cellular response to metal ion",0.031%,null,null,3.601,-4.5834,0.804,0.535,35690,1
GO:0071241,"cellular response to inorganic substance",0.035%,null,null,3.649,-4.3768,0.802,0.715,35690,1
