population	sample_id	CD7	CD19	pMET	pPLCg2	CD4	IgD	CD20	CD34	CD25	STAT5	CD123	Akt	STAT1	CD45	CD27	p-p38	CD24	pStat3	CD11c	CD14	CD33	Ikba	pCREB	CD16	tMET	CD8a	CD45RA	CD3	pERK	CD38	HLA-DR	pS6	CD127
HPSC	E04_D0_UN	0.290626295	0.088020578	1.992368419	0.470036951	0.136076475	0.34768847	0.096936659	4.414792704	0.658298934	0.750739695	1.039333299	1.084242291	0.468457661	5.057275726	0.076253359	1.444186507	0.085386586	0.342865124	0.704257114	0.227672343	0.560582873	2.127205422	4.728075286	0.112628934	1.435574142	0.03639202	0.342702742	0.191910326	0.201803073	2.568571795	2.888969594	0.632431875	0.216744164
Monocytes	E04_D0_UN	0.518842606	0.089996522	3.265054803	1.312396772	1.222773032	0.557041376	0.120469793	1.988232127	0.16164315	1.261168501	0.306174661	2.136358498	2.954724268	6.241658561	0.246228074	1.818090179	0.665935056	1.00187425	5.589446411	3.651200576	4.424878639	3.751637996	5.056419361	1.710046266	3.081987658	0.215416522	0.341940937	0.73811287	0.717189478	3.512687808	4.179743868	1.494668727	0.327509015
NK cells	E04_D0_UN	3.13373848	0.038958726	1.979086532	0.878439912	0.122384357	0.123311368	0.115962164	0.294556005	0.142622793	0.50844663	0.024139891	1.569766608	0.609027403	6.170896298	0.242834016	0.649855552	0.101386101	0.125630823	1.932792554	0.126618578	0.075419321	1.261011417	3.64586439	1.885255291	0.893593233	0.563866005	4.595803474	0.780575502	0.096166365	3.443179614	0.284076655	0.235781031	0.068047113
None	E04_D0_UN	0.62004148	1.01466199	1.880535621	0.417509624	0.103733615	0.130422594	0.054098832	0.188794905	0.13576865	0.544290933	0.602897128	1.308940616	0.767320787	3.840658037	2.992021483	0.913520621	0.157755472	0.336054648	0.894785662	0.241497594	0.284050871	0.806844979	2.487500908	0.220420448	1.938450885	0.367306123	2.912963221	0.713318487	0.456624894	4.350773756	1.159327574	0.525977015	0.213390407
T.CD4 cells	E04_D0_UN	2.336794806	0.046161606	1.942476407	0.702978015	3.27686979	0.364384155	0.090160274	0.196722561	0.750935459	0.515155906	0.045848766	1.408736159	0.852389819	5.897779299	3.48724161	0.545187702	0.068191291	0.212756177	0.244681689	0.105336321	0.082599591	2.185118077	2.924658352	0.292188813	1.580245465	0.43909205	1.767715586	6.082681803	0.267188954	0.866383964	0.266309278	0.096023568	0.865032073
T.CD8 cells	E04_D0_UN	2.195553617	0.029481656	1.840748589	0.659534384	0.104081426	0.100734476	0.153854672	0.340722981	0.160536001	0.480245291	0.021439438	1.555437112	0.811770999	6.255108866	1.210174552	0.563113167	0.067191702	0.13918028	0.362634566	0.122037214	0.081711373	1.659173132	3.504801817	0.359370547	1.456283409	4.62667877	2.739770135	6.109513941	0.251145363	0.953819106	0.345363778	0.226767187	0.277916934
T.DN cells	E04_D0_UN	2.284669259	0.029092028	1.820201577	0.66550841	0.094951245	0.102836964	0.12386143	0.474285406	0.137718065	0.462449216	0.021890505	1.398520646	0.448772987	6.135508949	1.95322524	0.588962747	0.06702583	0.107725924	0.485767225	0.121666559	0.074935027	1.259815955	3.322129493	0.527266583	1.481808141	0.823927977	0.675991748	6.579663142	0.481639367	1.948333539	0.528509599	0.333681936	0.346219632
Unknown	E04_D0_UN	0.040977538	0.017271477	0.784400998	0.189839723	0.023628133	0.068131858	0.009832213	0.134554917	0.014701824	0.309422325	0.009262211	0.27636069	0.049449087	1.695830255	0.031336884	0.460640159	0.047985346	0.254249053	0.803498064	0.093932359	0.305790108	0.075485733	1.549140151	0.090044559	0.283559617	0.03713933	0.149003585	0.236065268	0.045236507	0.69772597	0.259018993	0.095335865	0.086811467
B cells	E04_D0_perv	0.502663625	3.709947661	2.262739852	1.780087134	0.243104213	2.21319245	4.15565786	0.798189445	0.463720627	0.746069133	0.085572581	2.054871506	0.56155291	5.863644812	0.789082529	2.085489483	0.390734921	0.350321673	0.788609583	0.300193138	0.244900528	1.406161331	3.805367977	0.130355614	2.019468369	0.119116643	4.825701419	0.401754676	0.489492553	2.058779591	4.589758848	2.770567094	0.182064346
Granulocytes	E04_D0_perv	0.182840063	0.058976631	1.513301939	0.367671447	0.055517996	0.092954134	0.108647465	0.254548243	0.115523859	0.304671826	0.045006632	0.773983011	0.169339479	5.361329563	0.194946948	0.759408905	3.158638344	2.287295289	3.842203704	0.438843184	1.91301249	0.258099406	1.412763763	0.081390768	0.383553335	0.100522217	0.284246932	0.289725903	0.209768469	1.233374348	0.333396368	0.18529446	0.236276679
HPSC	E04_D0_perv	0.568450809	0.152587898	2.494974929	1.400547593	0.26838783	0.501880104	0.09394755	4.448725021	0.753231078	1.467851773	0.99573736	1.409487508	0.570988045	5.014446211	0.089206372	3.567480617	0.23084571	0.709472093	0.916814924	0.388352768	0.684943216	2.392343259	5.04708429	0.21800961	1.742803157	0.077386946	0.45834603	0.274077457	0.408575058	2.324760529	2.877809283	1.853057158	0.113357092
Monocytes	E04_D0_perv	0.653781561	0.166736543	3.522934253	1.983763625	1.4091744	0.627479076	0.125200102	1.988723597	0.16423045	1.696217895	0.303644593	2.184285659	3.023483541	6.28197493	0.314396521	3.871577144	0.922986236	1.243724138	5.591236532	3.688979245	4.359962516	3.857899648	4.694433946	1.77469077	3.304814017	0.227716331	0.330467956	0.714813647	1.250674527	3.390772409	4.089873024	1.718058582	0.312554718
NK cells	E04_D0_perv	3.202803352	0.147483165	2.504981819	3.005793627	0.525359858	0.28351785	0.110595034	0.350706529	0.134968968	1.858031811	0.026321194	1.817301209	0.906090323	6.218388033	0.258024343	2.475521136	0.168897533	0.289018109	1.993901841	0.359632122	0.072811265	1.055747857	3.395713887	1.529190208	1.164865608	0.63821395	4.57463897	0.801450505	0.547943383	3.447544094	0.290101546	0.733177612	0.062219304
None	E04_D0_perv	0.886535309	1.649007522	2.356604852	1.932688043	0.41885811	0.25093318	0.092350396	0.318301219	0.166624426	1.381828465	0.82771806	1.809396987	1.244934246	4.542252989	3.432104975	2.265621342	0.197693052	0.458360051	0.839584485	0.355739781	0.194441671	1.13760367	3.447455791	0.351572341	2.500643056	0.385679685	3.496359083	0.819140153	1.124911097	5.032794736	1.820187326	1.113999236	0.319473344
T.CD4 cells	E04_D0_perv	2.448606707	0.194351069	2.777976157	3.397626319	3.319839206	0.550433874	0.088295191	0.237591051	0.646503806	2.04078509	0.0402968	2.179801209	1.529508879	5.914015829	3.445597818	2.445350988	0.135898004	0.514584202	0.259685098	0.398413647	0.07494006	1.824615108	3.701754085	0.284773517	1.742719787	0.372765338	1.799188437	5.99569678	1.247571868	0.876998575	0.272067158	1.084204918	0.870523723
T.CD8 cells	E04_D0_perv	2.347960702	0.216627565	2.686034154	3.762943802	0.818300859	0.357656683	0.121084089	0.403543422	0.135431493	2.326699942	0.026106549	1.926571354	1.352871106	6.287114195	1.181037029	2.711575694	0.162800789	0.484395595	0.368226961	0.526566347	0.080319859	1.191759493	3.729907254	0.372977076	1.747661977	4.567974952	2.763295193	6.068984657	1.700633168	1.012308489	0.338370199	1.06707099	0.274746032
T.DN cells	E04_D0_perv	2.351531318	0.134223592	2.349736483	2.80550721	0.517240401	0.249000391	0.114024045	0.537160107	0.130544474	1.773606909	0.022352432	1.617628782	0.913576594	6.141822984	1.929193514	2.109390128	0.118532439	0.259649937	0.478402255	0.347771532	0.069919891	0.978952621	3.136982496	0.52220643	1.823625441	0.76754733	0.645268809	6.532304604	0.985392882	1.949700397	0.523003188	0.722813895	0.311052281
Unknown	E04_D0_perv	0.05408377	0.026178386	0.971378251	0.508787055	0.040709031	0.064625448	0.011238077	0.152070233	0.018663871	0.526473164	0.010723835	0.320418653	0.098542696	1.778314265	0.048709338	1.306499422	0.088436643	0.398642145	0.881516705	0.113640123	0.349140598	0.088157962	1.454685459	0.115925225	0.339240311	0.043602409	0.181998087	0.253456277	0.062510555	0.763333664	0.291445956	0.138068152	0.077328119
B cells	E04_D1_UN	0.392611986	3.721110121	1.711455948	0.468747726	0.141070731	2.264846186	3.967136292	0.552536419	0.400749209	0.301129992	0.059821674	1.206480021	0.273694013	5.808229976	0.703307795	0.964785023	0.263808256	0.196998006	0.490752257	0.166629905	0.165928405	0.370038575	3.896639682	0.084719393	0.873093502	0.103790807	4.824585091	0.485856312	0.260476998	2.056238266	4.879644077	2.536334353	0.186975877
Granulocytes	E04_D1_UN	0.208178414	0.088442986	1.542505932	0.20949665	0.060540292	0.104089058	0.144216191	0.251516915	0.141676758	0.240865617	0.073753754	0.779540409	0.112373441	5.577167264	0.221072869	0.613133696	3.52745282	2.097508151	4.071578334	0.699057983	1.692090817	0.075246374	0.526046899	0.062120246	0.288607949	0.117006245	0.302743427	0.383100027	0.071991157	2.010501554	0.440620433	0.05601365	0.262467061
HPSC	E04_D1_UN	0.359874785	0.076750206	1.757952379	0.563814297	0.101260075	0.303395824	0.074839015	4.172993063	0.372051458	0.713948763	0.798278619	0.984725856	0.391595046	4.49200252	0.09853745	1.891625953	0.162026979	0.625034558	1.409499165	0.236773086	0.850211971	0.970831694	3.890228244	0.142375549	1.05780242	0.204182698	0.783212256	0.163492328	0.161880286	2.783670624	2.860393607	0.772753483	0.088207666
Monocytes	E04_D1_UN	0.602364902	0.081236022	3.058732712	0.941511953	1.561655968	0.430461413	0.116676266	1.608958992	0.150859266	1.028467657	0.415233061	1.933393491	2.414114693	6.133918094	0.41216945	2.416199485	0.6224639	0.884379469	5.175505152	3.672987907	4.070370374	2.013781724	4.760607052	1.548728141	2.490145782	0.242906208	0.500637988	1.32576542	1.112935029	3.470178716	4.899305317	1.646379145	0.358016681
NK cells	E04_D1_UN	2.948751167	0.028377965	1.889373983	0.572574359	0.093134855	0.091530852	0.08522231	0.27156048	0.10725468	0.347965839	0.020561708	1.353018562	0.544999279	6.164565603	0.327779879	0.874908632	0.099411571	0.100510491	1.57097891	0.113129124	0.062726798	0.644583491	3.5605896	1.648162867	0.647599285	0.579608187	4.725903046	0.868518938	0.106353664	3.205752613	0.338351268	0.290904188	0.062163777
None	E04_D1_UN	0.644773403	0.827037184	1.435128414	0.469323852	0.201402926	0.131239142	0.097190296	0.290715943	0.055350351	0.416032203	0.321396089	1.009255222	0.466109544	3.039691294	2.398714811	0.843154305	0.112980909	0.280079666	0.575835767	0.164603795	0.219911062	0.461992368	2.383418644	0.213405907	1.206902176	0.219412025	2.219713365	0.916262616	0.491422913	3.499600632	1.261686953	0.575874106	0.230987676
T.CD4 cells	E04_D1_UN	2.105654978	0.037811266	1.767959659	0.49329745	3.333240766	0.304781178	0.070748343	0.152985976	0.764088372	0.393231774	0.036479781	1.23792525	0.877397567	5.8503894	3.777506938	0.67727324	0.069208346	0.365252022	0.198772922	0.086389758	0.061675226	0.993281914	2.524992882	0.221252748	1.184447029	0.356758285	1.517866668	6.047996051	0.2924011	0.723377878	0.237079292	0.091815751	0.582069618
T.CD8 cells	E04_D1_UN	2.087600325	0.026990571	1.766828054	0.444469316	0.123931215	0.073933062	0.128505353	0.264335451	0.167659542	0.368332155	0.022494721	1.291341773	0.74631756	6.176737813	1.817555725	0.678376755	0.07907333	0.157290676	0.262715635	0.096806277	0.063826786	0.955316442	3.206124386	0.280762121	1.074348824	4.645562796	2.744721664	6.057237447	0.257329107	0.928358174	0.328557841	0.25715847	0.276115675
T.DN cells	E04_D1_UN	2.161278159	0.030730602	1.869421028	0.458084203	0.074377839	0.077005507	0.096342314	0.407339727	0.118024097	0.332071505	0.020660945	1.238587773	0.412434063	6.112560806	2.598848831	0.858015246	0.066261711	0.104831521	0.391210812	0.100516356	0.058405926	0.644742064	3.053715683	0.413238522	1.062964353	0.682708787	0.800809146	6.518198421	0.49435399	1.949973821	0.530272801	0.378712106	0.23622671
Unknown	E04_D1_UN	0.032791389	0.013564053	0.663270835	0.095128543	0.016079823	0.042043887	0.007027162	0.116253966	0.011308661	0.2259211	0.006421805	0.150590126	0.028246972	1.054722246	0.02743272	0.408952196	0.024712216	0.130642959	0.215836132	0.049240651	0.091645095	0.032004992	1.28416192	0.03469861	0.16353299	0.028671099	0.144060703	0.182617762	0.034211117	0.564166316	0.145730276	0.080895326	0.058685029
B cells	E04_D1_perv	0.434180069	3.737739625	2.110434549	0.976877204	0.148866352	2.357777727	4.010297403	0.641641829	0.412511939	0.501132727	0.055683921	1.588041786	0.450883548	5.805101243	0.689862728	1.519669304	0.305515617	0.252533787	0.48478311	0.148421812	0.10509727	0.711601622	3.608962429	0.083784305	1.755123907	0.092396437	4.807343807	0.407095613	0.334153397	2.04059931	4.876160796	2.786059732	0.207003743
Granulocytes	E04_D1_perv	0.241160795	0.077810454	1.658167857	0.347592056	0.074795801	0.127488091	0.167736958	0.300432175	0.159731665	0.273539531	0.078245455	0.862883937	0.13600561	5.608302357	0.256274967	0.653656794	3.512058864	2.076238481	4.051466191	0.900219046	2.052998531	0.125879895	0.750396136	0.085897809	0.426466793	0.159167756	0.35140365	0.417957951	0.100919521	1.81549563	0.484160993	0.074155145	0.271273613
HPSC	E04_D1_perv	0.34107366	0.10453988	2.22485503	1.28066949	0.260484539	0.32977758	0.04153521	4.224589691	0.55852878	1.530113148	0.647653779	1.657087975	0.737909625	4.445800144	0.119922283	3.227236389	0.330912408	0.986451077	0.961167525	0.297036486	0.644717407	1.229485365	4.55262637	0.219925351	1.600367648	0.095624196	0.675715384	0.287754356	0.4113555	2.625138784	2.831372443	1.471703374	0.20319635
Monocytes	E04_D1_perv	0.738820177	0.176767394	3.514857441	1.944410877	1.800038863	0.538854544	0.124964491	1.788619386	0.152112165	1.754415286	0.462685856	2.030790801	3.02437413	6.225517127	0.384068672	3.362838157	0.68401251	1.288658042	5.272313451	3.760350636	4.090101458	2.638663943	4.354496189	1.797856927	3.216143716	0.258729532	0.429428782	1.180118393	1.188419357	3.349756275	4.95086636	1.877721386	0.359469459
NK cells	E04_D1_perv	3.171323517	0.062277557	2.379791774	1.69463389	0.213976866	0.17565232	0.115440915	0.348737357	0.15418601	1.025588656	0.026685227	1.709648412	1.006614282	6.284226535	0.307004703	1.822392451	0.160911289	0.194257452	1.692911863	0.196900034	0.068003676	1.107276658	3.360887745	1.625628782	1.216158865	0.631061431	4.755490445	0.897189653	0.358682877	3.294483076	0.333670148	0.581312545	0.068561626
None	E04_D1_perv	0.685219016	0.568520182	1.502324934	0.981888969	0.281301074	0.151553465	0.055220775	0.5362714	0.133386991	0.724417742	0.379067748	1.054988411	0.679827468	2.770796194	2.106353215	1.510808784	0.180449775	0.407409326	0.723947994	0.169753981	0.250720526	0.521155243	2.259296709	0.224624858	1.236160329	0.256991576	2.000645172	1.000796564	0.615403385	3.017356492	1.311880866	0.652267013	0.186314041
T.CD4 cells	E04_D1_perv	2.300896662	0.074651869	2.199620149	1.896389979	3.347108647	0.400573756	0.081252136	0.187598221	0.768022496	1.293866307	0.040031431	1.779430256	1.570385966	5.862581888	3.77773205	1.923711302	0.115198041	0.745429856	0.216854854	0.171307195	0.064282463	1.217043886	3.010102885	0.256589626	1.663023485	0.372740516	1.521617065	6.000994422	1.038159625	0.76830193	0.236484466	0.528901927	0.606346536
T.CD8 cells	E04_D1_perv	2.335188164	0.081979659	2.4064842	2.293903729	0.366401847	0.184790202	0.145213691	0.338729525	0.180628442	1.444870649	0.026185442	1.748502095	1.415975291	6.232283642	1.828984366	2.226231481	0.141441396	0.368781557	0.297859589	0.245711836	0.066751506	1.270986975	3.453991079	0.343818707	1.751394484	4.610196917	2.72791615	6.050575126	1.239604286	0.995448176	0.346371853	0.845353469	0.301929312
T.DN cells	E04_D1_perv	2.314230538	0.05055529	2.186257458	1.441661724	0.18381669	0.128044559	0.117968527	0.491080292	0.142357607	0.903973465	0.023183657	1.470376401	0.775544703	6.115196746	2.577228981	1.517296537	0.091934559	0.171243653	0.415984948	0.158684317	0.063473181	0.948512552	2.949367594	0.468477136	1.708316031	0.733569509	0.818355164	6.477133274	0.76943501	1.945543228	0.540045594	0.528008928	0.23508744
Unknown	E04_D1_perv	0.040607558	0.016761312	0.805585304	0.33574188	0.024973987	0.046588621	0.008729379	0.123826823	0.011302483	0.380181149	0.007528865	0.202179055	0.049569377	1.088838535	0.035914303	1.058642733	0.048624426	0.229256291	0.24579283	0.061512717	0.100272743	0.049650514	1.212751361	0.043359799	0.195917874	0.030902883	0.159554036	0.186158868	0.060061802	0.573701457	0.162876933	0.117520635	0.06212823
B cells	E04_D2_UN	0.383668206	3.682465836	1.868966649	0.446131167	0.119007187	2.176679574	4.014986118	0.535404831	0.357338471	0.284377846	0.056443023	1.271205551	0.284328058	5.803322579	0.563591041	0.770163233	0.218745145	0.177573426	0.344159677	0.107362735	0.095203722	0.451155242	3.875655895	0.059341027	0.976407585	0.092199132	4.676473536	0.410465217	0.223956202	2.057843089	4.951331154	2.632581831	0.186831175
Granulocytes	E04_D2_UN	0.233853288	0.093172892	1.715502331	0.229893518	0.066257169	0.105154236	0.156030579	0.25359136	0.168661192	0.24712613	0.069884563	0.887598659	0.302820155	5.781109726	0.222587001	0.464015302	3.188301897	1.95108138	4.03829865	0.874514329	1.977281812	0.073152306	0.429940069	0.053428439	0.334761901	0.107117361	0.284433901	0.376159652	0.071300956	2.318324092	0.444340336	0.04679568	0.260440849
HPSC	E04_D2_UN	0.175426678	0.037898444	1.606060821	0.3743773	0.172488364	0.20906433	0.063326431	4.272789699	0.09659464	0.401966806	0.688648682	0.766778722	0.299461377	4.01386023	0.04598051	1.313965046	0.193494902	0.40913372	0.403766844	0.169693607	0.728765605	1.406198944	3.552773735	0.266449039	0.831238052	0.074509856	0.196619929	0.110013503	0.181666552	2.742534068	3.252102986	0.527366676	0.16192627
Monocytes	E04_D2_UN	0.66620249	0.087186711	3.029385259	0.942279899	1.238509688	0.355134174	0.107557622	1.14325104	0.17610802	0.894217069	0.95559755	1.744742103	2.264033975	6.026805598	0.537967298	2.479700708	0.50056276	0.775747259	4.851513985	3.24291926	3.491389749	1.424651971	4.335794501	1.714482806	2.469624244	0.323214829	0.64850943	1.277510248	1.280778643	3.551421913	5.130726058	1.49925942	0.424523886
NK cells	E04_D2_UN	2.881300859	0.037582125	2.1581524	0.59097726	0.0859105	0.090575297	0.080561125	0.255832543	0.115186033	0.361540592	0.018419796	1.487660495	0.629482744	6.232366868	0.268843858	0.910512235	0.104420638	0.089309027	1.661991465	0.099789614	0.053539649	0.73721454	3.521895235	1.865674872	0.746519752	0.543428926	4.694380586	0.860598004	0.105734222	3.641074736	0.369601161	0.260165555	0.077522327
None	E04_D2_UN	1.080191446	0.975218459	1.895747454	0.468788754	0.32301725	0.132939848	0.139111877	0.688754113	0.241810827	0.577572354	0.327157492	1.156286921	0.772827017	4.50712023	3.062431027	0.985164704	0.174835798	0.362645652	0.797473413	0.15041137	0.387733744	0.700789779	3.043184453	0.469961935	1.620893407	0.443386296	3.44063971	1.776843948	0.445761676	4.199015169	2.176042107	0.622240286	0.358292333
T.CD4 cells	E04_D2_UN	2.235774645	0.042645146	1.94273965	0.548905992	3.426059205	0.310004491	0.068335836	0.157083082	0.779800295	0.371317846	0.038425457	1.238088165	0.951534273	5.918465736	3.983320456	0.548985415	0.069898328	0.527218993	0.194737613	0.087647434	0.062922195	1.687979996	2.795536946	0.236606763	1.381822191	0.371694506	1.618047983	6.151792544	0.285878047	0.742820416	0.223172164	0.108197748	0.580422237
T.CD8 cells	E04_D2_UN	2.052621741	0.033376248	2.017430922	0.46554345	0.135516104	0.081353671	0.100985418	0.264439093	0.171765979	0.354220681	0.020031807	1.34598343	0.798342935	6.222134973	1.582301183	0.650459153	0.076884026	0.15611691	0.282965891	0.103058584	0.0639368	0.991422919	3.013491305	0.290776979	1.177696961	4.637909079	2.788466502	6.063841033	0.24828238	1.215050215	0.344531729	0.215965114	0.264602143
T.DN cells	E04_D2_UN	2.14209936	0.035202382	2.143135532	0.492171066	0.073134484	0.089065803	0.092255338	0.423399367	0.123345215	0.33999845	0.022269464	1.275096254	0.411576453	6.196766312	2.48565433	0.78962919	0.072976069	0.101372793	0.516673571	0.116106513	0.062566941	0.573577361	2.768589937	0.417993399	1.20005429	0.637588482	0.982376523	6.499911846	0.449153505	2.50551123	0.668693962	0.293840866	0.274425797
Unknown	E04_D2_UN	0.039829458	0.023249875	0.735042532	0.080227449	0.017972926	0.031715916	0.007544001	0.07724984	0.019354201	0.089754828	0.006757528	0.139253893	0.033848797	1.105487294	0.031119531	0.355124604	0.025370204	0.10190153	0.203073575	0.051569363	0.084720866	0.027956484	1.468438327	0.04334881	0.168484485	0.044046875	0.158437082	0.261640407	0.032362719	0.460918521	0.166691098	0.087410036	0.061788771
B cells	E04_D2_perv	0.402097583	3.604354832	1.974969311	1.507379454	0.224973434	2.071263119	3.911811549	0.441801976	0.293519489	0.514117028	0.045535942	1.640225908	0.487182114	5.842362543	0.624970779	1.910564948	0.249503896	0.23817805	0.387828	0.18527604	0.126454777	0.705042828	3.824096529	0.078002083	1.616735657	0.128439128	4.667733556	0.506964388	0.45704698	1.956027489	4.902524764	2.713461999	0.176340425
Granulocytes	E04_D2_perv	0.230830582	0.071659501	1.64905611	0.317666671	0.066793829	0.118144168	0.153339286	0.257849125	0.159480094	0.24993541	0.069453679	0.871681425	0.331129948	5.720367701	0.225346166	0.45147282	3.073219602	1.773710048	3.913540261	0.959682385	2.07448884	0.088897549	0.567554695	0.068055151	0.415265406	0.123191736	0.317187824	0.361453806	0.081821244	1.993491131	0.439449021	0.055761088	0.234107031
HPSC	E04_D2_perv	0.6061978	0.135633773	2.187249677	1.339199745	0.188173028	0.393809821	0.073516643	4.146013272	0.436900559	1.050272849	0.581644936	1.56807391	0.626236567	5.247096821	0.146507846	3.010468064	0.804829531	1.075051846	1.430538952	0.639773042	1.690326378	1.651210614	4.48912828	0.51384659	1.545814467	0.104023999	0.809083176	0.477174393	0.415740038	3.583965233	3.743343404	1.581326016	0.331017816
Monocytes	E04_D2_perv	0.801732556	0.147100794	3.393787931	1.866676905	1.431262006	0.409542822	0.116735851	1.269143615	0.167787754	1.523317271	1.006468365	1.82977146	2.907041187	6.284500765	0.572822017	2.860684036	0.588801423	1.077651389	5.061926534	3.505041853	3.582186898	2.096729599	4.002361294	1.838560701	3.08188508	0.343788987	0.641652611	1.316663974	1.107100291	3.526562621	5.186382243	1.686216268	0.358476468
NK cells	E04_D2_perv	2.860979457	0.044425756	2.270650292	1.886706373	0.186584539	0.116568901	0.071395772	0.215299558	0.087752589	1.02426866	0.017980423	1.450019929	0.818947295	6.25042454	0.29079567	2.014915505	0.152052316	0.157092094	1.621056116	0.17664376	0.056655456	0.916880682	3.102220031	1.471878579	1.093130875	0.567545998	4.621438503	0.830275845	0.393677477	3.552347862	0.364193074	0.549539992	0.051726788
None	E04_D2_perv	0.936931449	0.752197458	1.775371382	1.16313697	0.5976204	0.21501914	0.13359357	0.856513319	0.205131163	0.73445675	0.525763717	1.170963346	0.885163876	4.042141985	2.618050407	1.423245169	0.205885571	0.437693306	0.799974001	0.213491034	0.439121289	0.889474792	2.654275145	0.265685302	1.691911508	0.413854831	2.756272502	1.602795049	0.75891013	3.870210696	2.132072751	0.624649181	0.276142619
T.CD4 cells	E04_D2_perv	2.257045258	0.077407315	2.358523853	2.674661728	3.370837805	0.325177536	0.055606653	0.141754321	0.608897127	1.560034834	0.032657385	1.776719689	1.886542905	5.936831786	3.951893751	2.229137755	0.131499643	0.97493388	0.21067761	0.227546827	0.06406623	1.670150176	3.334176734	0.2281102	1.660135095	0.317086244	1.537507533	6.076134527	1.131206119	0.751563719	0.218605642	0.811299465	0.492360792
T.CD8 cells	E04_D2_perv	2.076561403	0.063212451	2.283064131	2.261337645	0.361552934	0.140307421	0.081709112	0.230495848	0.135241045	1.292642261	0.021523701	1.470463294	1.2212665	6.2397161	1.609932382	2.023780284	0.135056223	0.331942078	0.307093743	0.244994203	0.068912644	1.047201588	3.096592758	0.279181285	1.513938562	4.535833396	2.720916738	6.022041598	0.999683356	1.205139958	0.332897739	0.711083792	0.229513963
T.DN cells	E04_D2_perv	2.135823983	0.041690066	2.190221702	1.630836255	0.173383142	0.110367621	0.074831489	0.352799943	0.097128519	0.899678475	0.019515939	1.243064087	0.76240598	6.184652379	2.417074108	1.627708816	0.103362517	0.163508062	0.486634131	0.181602009	0.05868128	0.667496283	2.624681715	0.367314235	1.527931443	0.582004004	0.951854363	6.442603044	0.739115268	2.429634848	0.619042022	0.511930511	0.219570076
Unknown	E04_D2_perv	0.036149546	0.017856592	0.742304544	0.333820741	0.019556511	0.026938792	0.006851755	0.063430402	0.015643645	0.192552915	0.005510475	0.141505995	0.038347892	1.001899623	0.03328849	0.850416754	0.033993554	0.1371089	0.182332607	0.051661397	0.077424646	0.030163021	1.309469816	0.038487322	0.164505033	0.038048682	0.151858005	0.222376861	0.06704607	0.389922585	0.151378541	0.08887391	0.045316519
B cells	E05_D0_UN	0.43484963	4.723972354	2.591912979	1.014617101	0.21445563	1.69215601	5.236966023	1.757542339	0.519676746	0.516311321	0.284971039	2.00756765	0.709093414	5.849236106	1.335692898	1.085493828	0.215759234	0.598230138	3.550805342	0.31218226	0.302434787	0.976883291	4.501763232	0.120651631	1.988863095	0.145266339	4.694893964	0.839496738	0.474198418	2.518222903	5.626756917	4.085127247	0.313749963
Granulocytes	E05_D0_UN	0.183493402	0.130650069	1.413757586	0.176222185	0.085562901	0.136787564	0.128284501	0.690557293	0.303494733	0.229135899	0.730226895	0.536264336	0.141014577	4.643367426	0.231630134	0.599607755	2.852757846	1.583601708	1.977197224	0.300377951	1.565745392	0.21714669	1.109895525	0.169140231	0.621489597	0.226336944	0.219154006	0.596202489	0.306356572	2.379937631	0.906597554	0.329555696	0.741354932
HPSC	E05_D0_UN	0.45793653	0.122286777	2.43217851	0.483792602	0.365193549	0.373075153	0.08911608	4.204721328	0.800878252	0.642031951	0.974793929	1.480655159	0.554642371	4.642563101	0.119800991	1.93009378	0.120060617	0.51724578	1.412898001	0.193814394	2.144416942	2.259990374	4.734198787	0.185706293	1.701753307	0.125012792	0.571253651	0.560844908	0.293566625	4.531486522	4.61805804	1.713029598	0.201191047
Monocytes	E05_D0_UN	0.356500656	0.110950693	2.86355652	0.831305728	0.990406707	0.352661915	0.122464395	0.778488388	0.193950464	0.855831745	0.871469465	1.838795137	1.551967566	5.781676986	0.502471322	2.766962741	0.238961727	0.434036917	4.362415544	3.107991	3.921785522	2.230447719	4.81078621	0.22458477	2.086790644	0.181467742	0.480185483	1.172285581	0.395014246	4.603670379	4.555377622	1.778277493	0.3303694
NK cells	E05_D0_UN	3.513166456	0.049561479	2.178929847	0.582752512	0.099658733	0.149272964	0.085681872	0.66843566	0.15854623	0.364551369	0.053598546	1.445144822	0.517835678	5.771696167	0.265442747	0.914599516	0.166121134	0.132397889	2.476446488	0.125335478	0.069413498	2.01065981	3.111324987	1.565921851	1.33125131	0.877348845	3.547102422	0.493600912	0.179263926	5.370770315	1.072294993	0.421293105	0.140322549
None	E05_D0_UN	0.457692536	1.433827354	2.175788568	0.467205072	0.274950176	0.300874819	0.180006875	0.874079537	0.476448066	0.963820947	1.407244338	1.721087813	0.934756027	5.047865964	2.958849306	1.450439875	0.110093128	0.433535507	0.969048194	0.218300639	0.579605817	1.333337485	3.871867174	0.164732322	2.030691634	0.241853856	4.027190197	0.950966476	0.896739359	5.809333188	4.205810359	1.254612297	0.606169496
T.CD4 cells	E05_D0_UN	2.344332249	0.051414206	1.862451359	0.545674584	3.351766744	0.410804431	0.085846363	0.489957143	0.830531015	0.391665808	0.041629963	1.510643665	1.15408394	5.673614311	3.593591175	0.600378603	0.08185751	0.535952855	0.117792973	0.093085788	0.071404622	2.503565515	3.062892164	0.330597615	1.844947654	0.533252594	2.281291185	6.059461778	0.341112201	1.613372319	0.321585414	0.17805179	0.580243563
