population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,9.12,1.43,3.95,2.33,1.99,65.91,516.25,35.53,51.14,42.61,97.96,4.79,0,20.44,96.28,146,0.52,0.01,0.24,0.04,0.19,37.59,1.04,0.89,0.55,5.75,1.47,456.87,17.03,2.06,0.77,14.1,0.45
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,7.92,0.74,2.14,1.03,0.85,7.95,275.68,7.24,54.14,34.56,93.57,3.06,0,19.63,107.64,163.49,0.32,0,0.16,0,0,53.3,0.64,0.68,0.55,8.14,1.5,408.68,19.59,1.55,0,15.76,0.41
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,9.15,1.32,3.66,1.55,1.26,61.48,491.16,23.04,53.45,43.57,97.65,4.21,0,20.58,109.88,169.59,0.39,0,0.2,0,0.14,54.92,0.76,0.73,0.5,7.83,1.3,415.83,18.12,1.61,0.58,16.16,0.32
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,4.74,0.67,2.47,0.95,0.97,7,241.19,8.14,38.77,32.45,114.53,3.12,0,8.51,145.23,266.54,0.58,0.09,0.25,0.57,0,58.45,0.54,0.44,0.37,8.64,1.45,555.16,43.06,1.75,0,17.91,0.31
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,5.54,1.14,4.25,1.56,1.53,52.55,436.19,30.21,37.71,40.19,113.36,4.49,0,8.86,141.15,265.74,0.76,0.14,0.3,0.66,0.11,57.6,0.77,0.62,0.37,8.44,1.27,566.29,40.56,2.06,0.44,17.92,0.3
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,61.4,9.33,7.53,4.74,2.01,12.03,418.23,21.59,57.13,67.9,140.18,7.77,0.11,0.39,1307.77,18.85,1.96,0,7.03,0.25,0.41,695.07,104.05,6.96,0.41,0.53,2.26,90.11,187.16,2.25,1.97,211.38,0.97
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,63.71,12.67,9.95,5.6,3.43,138.01,324.16,22.31,72.72,80.98,169.86,9.76,0.15,0.42,1395.96,19.21,2.66,0.06,8.97,0.31,0.81,713.46,109.12,8.57,0.49,0.54,2.26,80.58,179.33,2.75,3.94,200.54,0.9
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,12.64,6.27,2.62,5.76,1.72,11.94,276.79,11.9,20.67,39.84,6.56,3.01,0.07,0.16,1062.76,5.27,1.43,0,5.55,0.14,0.63,367.22,66.53,2.38,0.27,0.82,3.24,58.16,249.99,0.89,2.81,117.37,0.95
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,60.4,11.11,5.24,7.16,1.51,49.66,122.63,16.2,57.4,70.04,28.56,6.86,0.14,0.46,1244.02,10.72,2.42,0,10.85,0.23,0.86,451.17,96.01,6.58,0.53,0.92,3.58,58.18,324.94,1.59,3.11,135.96,1.01
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,2.09,0.2,1.32,10.05,0.32,3.19,3.6,6.71,3.1,20.22,0.4,1.44,0.11,0,952.48,1.53,1.05,0,0.3,0.24,0.68,198.31,8.25,0.34,0.2,0.84,1.74,37.11,4.22,0.27,38.4,29.99,0.89
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,18.92,2.16,2.64,7.03,0.67,9.58,45.27,9.19,28.03,40.29,2.75,2.83,0.09,0.61,1156.58,2.89,1.55,0,2.09,0.18,0.7,281.96,28,2.47,0.37,0.89,2.21,42.1,241.38,0.67,7.15,53.36,0.8
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,10.92,8.5,3.11,1.27,1.11,38.92,407.72,14.59,19.96,43.57,21.86,3.58,0,2.9,789.4,3.92,0.61,0,3.27,0.39,0.82,182.23,62.48,0.37,0.18,0.59,3.4,261.35,205.36,1.08,0.45,139.04,0.93
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,19.03,7.47,27.45,2.38,1.46,129.8,228.76,12.63,17,51.6,21.86,9.13,0,2.43,816.32,3.4,1,0.11,6.85,0.21,0.91,171.29,74.28,0.25,0.06,0.3,2.62,247.9,129.75,1.5,0.96,129.13,0.41
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,20.55,3.5,5.66,2.22,1.2,26.66,454.08,19.61,24.61,61.51,41.02,7.29,0.05,4.4,987.04,5.36,0.98,0,6.16,0.58,0.94,257.59,160.63,0.67,0.28,0.61,3.47,300.79,262.18,2.14,0.59,215.82,1.11
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,29.7,2.2,8.74,2.7,1.23,131.71,189.35,17.09,23.1,60.83,48.14,9.11,0,3.96,1016.77,4.71,1.07,0,7.65,0.49,1.34,250.64,160.15,0.42,0.2,0.39,2.95,295.52,130.68,1.86,1.31,207.17,0.59
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,22.02,4.37,6.96,2.63,1.32,38.08,445.78,21.48,20.68,60.89,42.57,7.86,0.22,2.92,1084.19,6.92,1.21,0,8.04,0.72,1.29,349.7,166.24,0.61,0.22,0.59,2.38,282.42,204.83,2.6,0.77,264.86,1.14
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,24.22,3.05,13.75,3.53,1.73,196.41,329.6,19.67,16.86,62.99,47.42,11.63,0.06,2.31,1079.85,5.99,1.43,0.07,10.41,0.49,1.76,333.4,163.66,0.45,0.11,0.37,1.87,270.47,101.62,2.54,1.95,247.29,0.6
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,4.06,1.86,4.54,1.14,0.82,18.28,404.25,8.5,22.53,46.49,18.87,4.34,0,4.6,574.25,8.36,4.3,0.08,2.28,0.49,0.12,81.56,2.66,0.59,0.16,3.95,0.86,166.33,259.3,1.41,0.49,47.91,0.75
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,6.97,2.89,7.77,1.57,1.09,167.45,425.91,10.57,22.94,50.68,24.24,6.16,0,4.41,688.62,6.63,4.54,0.14,3.18,0.49,0.46,94.71,3.84,0.57,0.12,3.59,0.81,154.31,226.15,1.44,1.42,45.19,0.55
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,1.19,1.27,2.27,1.34,0.54,14.04,326.8,4.72,9.77,22.41,4.39,2.33,0,3.03,424.63,4.04,2.73,0,1.05,0.22,0.09,51.44,1.24,0.2,0.05,2.76,0.68,105.66,196.97,0.81,0.81,32.21,0.53
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,2.4,2.04,4.3,2.57,0.83,140.4,367.34,6.54,14.31,37.06,4.76,4.15,0,2.86,431.29,3.81,3.03,0.03,1.5,0.2,0.39,56.17,1.76,0.34,0.11,2.9,0.81,99.81,174.55,0.99,2.16,30.52,0.51
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,3.32,0.62,0.19,0.97,0.11,17.89,238.2,4.33,3.69,32.75,0.61,0.78,0,0.17,848.5,0,0,0,0.78,0,0,319.6,7.82,0,0,0.57,0,15.91,219.01,0,0.9,39,0.34
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,3.59,0.67,38.17,3.64,1.01,193.31,335.51,3.47,3.33,36.79,0.52,4.84,0,0,839.67,0,0,0,2.09,0,0,289.4,30.01,0,0,0.04,0,16.64,139.36,0.07,1.83,35.2,0
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,0,0,0,8.84,0,1.98,0.8,2.11,0.25,4.12,0,0,0,0,420.29,0,0,0,0,0,0,72.07,0.4,0,0,0,0.44,6.2,0.64,0,88.18,12.56,0.49
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,0,0,0,7.51,0,2.37,1.61,2.69,0.55,5.1,0,0.25,0,0,435.97,0,0,0,0,0,0.06,77.2,0.68,0,0,0,0.46,6.22,1.01,0,81.76,14.15,0.23
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,0,0,0,13.29,0,0.92,1.82,1.67,0.83,2.86,0,0.07,0,0,484.64,0,0,0,0,0,0,98.91,0.53,0,0,0,0.07,3.81,0.22,0,98.71,12.03,1.69
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,0,0,0,12.9,0,1.11,2.56,2.09,1.14,3.69,0,0.14,0,0,489.49,0,0,0,0,0,0,101.2,0.54,0,0,0,0.13,4.08,0.28,0,94.88,12.77,1.81
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,0.51,11.08,1.39,0.27,0.73,12.48,438.93,6.65,11.6,22.83,20.96,1.72,0,11.06,422.09,108.3,0.8,0,0.05,1.13,0.06,15.59,0.24,0.16,0.22,14.74,2.08,10.26,3.1,0.76,0,39.32,0.48
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,0.57,23.21,3.76,0.39,1.57,95.32,425.79,8.22,11.72,26.95,17.27,3.45,0,11.33,406.85,110.5,0.82,0.01,0.04,0.7,0.64,13.23,0.4,0.16,0.12,13.46,1.68,12.26,2.89,1.06,0.55,35.19,0.57
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,0.25,9.85,1.47,0.16,0.73,19.7,431.07,5.85,11.08,19.8,12.11,1.62,0,7.07,392.83,125.81,1.03,0,0.05,0.61,0.26,14.38,0.17,0.15,0.16,10.02,2.35,12.02,4.94,0.8,0,35.58,0.57
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,0.31,18.81,2.17,0.38,1.57,87.75,425.93,6.5,9.26,18.67,9.48,2.23,0,8.95,371,163.32,0.88,0,0.02,0.6,0.38,9.39,0.27,0.15,0.19,11.94,2.07,7.65,1.95,0.68,0.22,33.46,0.55
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,7.88,2.71,1.36,1.75,0.76,19.05,390.28,5.19,22.92,60.67,10.71,1.74,0,0,925.24,0,0,0,5.64,0,0,205.1,98.5,0,0,11.36,0.56,174.13,663.54,0.22,0.42,11.34,0.82
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample3_01_0_E13_D0_PERV.fcs - c10_sample3_01_0_E13_D0_PERV.fcs,8.48,2.14,204.63,4.76,2.12,205.63,395.77,7.1,23.32,86.9,7,10.4,0,0,933.73,0.05,0,0,11.19,0,0.05,210.04,109.18,0.06,0,15.17,0.31,151.35,501.41,0.86,2.19,11.24,0.57
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample3_01_0_E13_D1_UN.fcs - c05_sample3_01_0_E13_D1_UN.fcs,7.37,0.56,2.08,1.73,0.46,9.59,334.64,4.83,20.51,58.2,19.25,2.16,0,0,920.19,0,0,0,4.84,0,0,184.55,109.59,0,0,9.55,0.78,168.08,575.87,0.18,0.29,12.06,0.68
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV-(1).fcs - c11_sample3_01_0_E13_D1_PERV.fcs,7.97,0.84,95.65,2.83,1.04,236.91,359.37,5.88,20.13,77.14,21.15,7.7,0,0,1017.83,0,0,0,7.13,0,0.18,201.3,113.55,0,0,10.65,0.7,168.95,424.69,0.45,1.84,12.14,0.31
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV.fcs - c11_sample3_01_0_E13_D1_PERV.fcs,7.8,0.87,96.07,2.83,1.06,246.55,379.25,5.87,20.35,80.86,21.94,7.68,0,0,1013.25,0,0,0,7.03,0,0.13,207.34,126.28,0,0,9.76,0.62,179.69,427.58,0.5,1.69,11.91,0.3
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,2.95,0.84,3.35,0.2,0.42,3.59,182.99,10.89,13.85,22.27,10.93,2.31,0,0,1017.98,0.87,7.52,0,4.42,0.39,1.55,2.4,0.61,0.61,0.65,3.71,7.87,21.93,2.45,0.75,0.02,0.28,0.95
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,3.73,1.28,8.18,0.51,0.57,32.27,110.14,11.73,16.16,25.8,10.51,4.67,0,0,1000.52,0.76,8.44,0,5.72,0.28,1.8,2.41,0.91,0.57,0.56,3.28,6.25,20.51,2.32,0.85,0.34,0.28,0.64
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,3.84,1.11,2.78,0.2,0.64,4.59,188.53,13.01,14.11,22.77,16.5,2.35,0,0,861.8,3.33,6.1,0,5.48,0.62,2.68,1.72,0.58,0.67,0.9,4.27,10.91,28.94,2.32,1.04,0,0.3,1.27
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,5.34,1.79,8.09,0.65,0.89,38.83,122.5,14.63,15.32,27.15,16.25,5.56,0,0,848.24,3.27,7.05,0,7.35,0.58,3.29,1.83,1.1,0.68,0.81,3.79,9.17,28.41,2.28,1.31,0.49,0.28,0.92
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,3.2,0.24,0.75,0,0.14,2.65,118.44,6.03,8.4,27.87,4.29,1.06,0,0,831.42,0.18,2.25,0,2.2,0.05,0.99,1.69,0.31,0.18,0.24,2.11,4.52,19.43,2.08,0.26,0,0,1
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,3.47,0.43,2.87,0.15,0.33,21.32,64.14,6.81,11.34,32.74,3.87,2.6,0,0,796.84,0.13,3.3,0,3.17,0.03,1.52,1.36,0.43,0.24,0.29,2.2,4.8,14.65,1.43,0.41,0.25,0,0.75
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,13.75,2.74,8.5,2.79,1.16,13.76,437.46,17.59,19.04,49.46,31.31,6.93,0.13,0.28,1239.77,1.46,4.41,0,8.92,0.6,1.01,656.47,63.17,1.78,0.37,240.09,2.21,196.34,338.16,1.51,0.46,278.47,0.87
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,25.38,4.51,24.96,3.63,2.28,110.4,372.74,20.69,21.81,67.59,32.7,13.57,0.1,0.43,1278.85,1.61,5.04,0.09,12.91,0.52,1.27,667.61,69.48,1.86,0.3,251.44,1.88,187.2,299.87,2.08,1.07,272.65,0.68
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,6.68,2.16,5.25,1.6,1.08,10.63,353.67,13.39,15.52,31.3,22.75,3.66,0,0,1072.57,0.95,5.11,0,6.57,0.69,1.84,315.6,3.2,1.03,0.6,120.97,4.82,124.92,110.59,1.16,0.36,94.19,0.89
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,18.76,7.77,65.48,3.8,3.28,96.38,380.08,19.79,17.75,61.57,18.44,18.03,0.03,0.14,1125.93,1.33,7.83,0.25,13.31,0.62,2.08,385.96,13.86,1.15,0.46,151.31,3.76,127.45,112.14,2.35,0.95,125.71,0.71
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,3.48,0.53,4.31,0.87,0.83,2.6,222.61,8.94,11.68,20.97,26.37,2.55,0,0,1037.86,0.87,36.51,0,4.35,1.48,88.44,2.19,0.45,0.87,1.6,52.24,900.77,45.38,1.43,0.85,0.18,0.59,1.17
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,20.69,7.53,353.16,3.44,6.72,90.41,373.08,21.82,14.71,61.5,8.99,41.04,0,0,1065.4,1.02,38.37,0.38,11.85,1.1,76.92,2.8,2.72,0.89,1.14,52.74,768.41,43.62,1.46,1.91,0.76,0.51,1
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample2_01_0_E03_D0_UN.fcs - c03_sample2_01_0_E03_D0_UN.fcs,3.02,0.78,1.95,0.98,0.77,6.65,275.07,5.8,43.93,32.07,67.92,2.44,0,11.22,49.11,219.95,0.17,0,0,0,0,5.06,0.23,0.44,0.39,2.12,1.19,341.52,18.14,1.13,0,0.86,0.23
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,3.38,1.41,2.98,1.58,1.44,48.06,484.14,12.85,42.25,36.36,73.62,3.62,0,12.05,50.61,214.8,0.3,0.03,0,0,0,5.32,0.45,0.66,0.37,1.96,1.09,338.75,15.67,1.44,0.3,0.98,0.27
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,2.53,0.76,1.83,0.66,0.61,7.38,304.56,5.07,42.01,28.94,59.97,2.31,0,10.28,52.52,231.98,0.12,0,0,0,0,5.86,0.15,0.4,0.33,2.07,0.98,293.63,17.14,1.01,0,0.83,0.15
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,2.97,1.35,2.77,1.03,0.94,48.04,456.85,8.84,41.67,37.64,64.35,3.21,0,11.44,54.37,225.87,0.21,0.01,0,0,0,6.47,0.28,0.52,0.32,2.14,0.93,297.46,15.81,1.11,0.22,0.94,0.15
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,1.98,0.62,2.05,0.85,0.71,6.55,253.39,5.89,34.89,28.7,99.49,2.52,0,7.2,71.2,254.47,0.25,0.01,0,0,0,9.16,0.16,0.29,0.26,2.76,1.04,364.18,20.75,1.15,0,1.67,0.13
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,2.42,1.08,3.24,1.26,1.09,40.38,420.96,13.18,34.66,36.51,100.63,3.5,0,7.7,71.39,249.41,0.39,0.07,0,0,0,9.76,0.34,0.47,0.25,2.77,0.97,369.52,18.82,1.37,0.16,1.83,0.15
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,23.64,3.13,4.98,2.13,1.19,6.71,296.47,15.95,32.89,43.68,64.11,4.54,0.01,0,1201.86,6.96,2.67,0,4.09,0.21,0.54,407.11,44.58,2.77,0.62,0.97,3.31,48.23,76.7,1.32,0.78,128.54,0.76
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,39.27,8.32,9.51,3.56,2.56,90.54,220.56,19.54,48.57,66.08,83.86,8.97,0.04,0,1287.93,10.16,3.27,0,7.27,0.23,0.87,477.7,60.29,3.6,0.63,0.89,3,48.58,88.92,2.07,1.81,139.59,0.7
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,2,0.13,1.56,0.56,0.54,2.4,48.13,6.64,5.51,14.29,1.33,1.29,0,0,899.16,0.7,7.32,0,1.75,0.32,2.69,1.01,0.22,0.63,0.95,1.84,638.98,4.92,0.79,0.35,0,0,0.57
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,7.09,1.12,4.27,1.53,1.11,16.44,67.45,11.23,12.76,24.23,3.1,3.89,0,0,945.28,1.18,6.89,0,6.23,0.37,1.97,1.52,0.77,0.99,0.95,1.71,55.49,6.39,1.13,0.85,0.27,0.08,0.63
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,3,0.04,1.95,0.57,0.56,1.8,66.73,7.57,7.17,18.04,3.43,1.28,0,0,998.43,0.61,18.15,0,8.23,0.79,63.77,0.79,0.17,0.78,1.59,4.47,1036.53,5.06,0.61,0.49,0,0,0.75
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,7.05,0.98,4.65,1.29,1.22,17.74,71.67,9.92,11.34,24.24,4.54,3.07,0,0,1028.54,0.6,15.44,0,9.61,0.48,33.1,0.94,0.68,0.76,1.19,3.29,888.01,5.77,0.72,0.63,0.2,0,0.54
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,6.36,0.13,2.39,0.74,1.11,2.28,128.53,11.15,15.65,17.93,35.42,1.6,0,0,775.05,2.37,28.39,0,65.46,1.79,108.99,0.25,0.04,1.18,2.23,28.82,1026.85,13.81,0.37,1.31,0,0,1.44
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,16.53,0.92,10.97,1.51,2.61,34,133.88,14.73,14.88,26.47,30.98,5.49,0,0,777.72,2.29,26.34,0,63.07,1.34,102.98,0.29,0.71,0.93,1.67,24.81,941.07,13.69,0.38,1.7,0.11,0,1.11
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,9.57,0.67,4.28,1.83,1.19,3.27,245.27,14.49,19.01,24.59,62.11,3.09,0,0,965.77,3.45,24.49,0,68.21,1.74,122.52,0.71,0.46,1.35,1.95,5.18,1073.54,27,1.01,2.02,0.03,0.27,1.27
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,46.95,3.2,100.59,4.32,5.15,75.63,271.55,23.07,18.82,47.84,46.66,17.86,0,0,989.6,3.51,20.88,0.25,61.64,1.26,103.89,0.88,2.81,1.01,1.29,3.49,922.07,28.84,1.14,2.68,0.56,0.15,0.88
